Lapas numurs,Sludinājumidatums_2,Iela,Ist.,m2,Stāvs,Sērija,Veids,Cena,"Cena, m2",Ielas nosaukums,Ielas numurs,Adrese,Iela full,Rajons,Merged,Year
155,Продаётся трёхкомнатная квартира в новом проекте Metropolia.,,3,73,2/18,Jaun.,Pardod,"135,000",1849.315068,Anniņmuižas,38/4,"Latvia, Riga,",Imanta Anniņmuižas 38/4,Imanta,"Latvia, Riga, Imanta Anniņmuižas 38/4",2019
155,"Pārdod gaišu, pilnībā aprīkotu, mēbelētu 3 istabu dzīvokli jauna",,3,82,5/18,Jaun.,Pardod,"116,500",1420.731707,Anniņmuižas,38,"Latvia, Riga,",Imanta Anniņmuižas 38,Imanta,"Latvia, Riga, Imanta Anniņmuižas 38",2019
155,"Mūsdienīgs dzīvojamais komplekss ""kvartāls 67"", pēc adreses Rīgā",,3,88,6/6,Jaun.,Pardod,"164,373",1867.875,Ūnijas,67,"Latvia, Riga,",Purvciems Ūnijas 67,Purvciems,"Latvia, Riga, Purvciems Ūnijas 67",2019
156,Тёплая и уютная квартира с хорошей и светлой аурой. Первые и еди,,3,63,4/9,602.,Pardod,"66,000",1047.619048,Deglava,164,"Latvia, Riga,",Pļavnieki Deglava 164,Pļavnieki,"Latvia, Riga, Pļavnieki Deglava 164",2019
156,Pārdod dzīvokli pēc kapitālā remonta. Visā dzīvoklī ir izlīdzinā,,3,76,3/9,119.,Pardod,"89,900",1182.894737,Deglava,122,"Latvia, Riga,",Purvciems Deglava 122,Purvciems,"Latvia, Riga, Purvciems Deglava 122",2019
156,Продаю квартиру в хорошем тихом месте требует ремонта,,3,62,2/9,602.,Pardod,"55,000",887.0967742,Dammes,15,"Latvia, Riga,",Imanta Dammes 15,Imanta,"Latvia, Riga, Imanta Dammes 15",2019
156,"Tiek pārdots kompakts 3 istabu dzīvoklis. Kapitālais remonts, st",,3,60,3/5,Jaun.,Pardod,"120,000",2000,Kuģu,26,"Latvia, Riga,",Āgenskalns Kuģu 26,Āgenskalns,"Latvia, Riga, Āgenskalns Kuģu 26",2019
156,"В квартире сделан дорогой, капитальный ремонт, делался для себя.",,3,63,8/9,602.,Pardod,"68,000",1079.365079,Slāvu,15,"Latvia, Riga,",Pļavnieki Slāvu 15,Pļavnieki,"Latvia, Riga, Pļavnieki Slāvu 15",2019
157,Piedāvājam iegādāties plašu un gaišu 3 istabu dzīvokli jaunajā p,,3,77,2/3,Jaun.,Pardod,"131,900",1712.987013,Kantora,85/1,"Latvia, Riga,",Bieriņi Kantora 85/1,Bieriņi,"Latvia, Riga, Bieriņi Kantora 85/1",2019
157,Tiek pārdots rūpīgi iekārtots un gaišs dzīvoklis jaunajā projekt,,3,97,5/6,Jaun.,Pardod,"200,000",2061.85567,St. Rusas,22a,"Latvia, Riga,",Klīversala St. Rusas 22a,Klīversala,"Latvia, Riga, Klīversala St. Rusas 22a",2019
157,"Plašs un elegants, skandināvu stilā iekārtots 3, 5 istabu dzīvok",,3,82,6/6,P. kara,Pardod,"128,000",1560.97561,Kalnciema,46,"Latvia, Riga,",Āgenskalns Kalnciema 46,Āgenskalns,"Latvia, Riga, Āgenskalns Kalnciema 46",2019
158,Продаётся 3-к квартира с тремя изолированными комнатами в районе,,3,75,2/5,Specpr.,Pardod,"78,990",1053.2,Vasaras,7,"Latvia, Riga,",Āgenskalns Vasaras 7,Āgenskalns,"Latvia, Riga, Āgenskalns Vasaras 7",2019
158,"Tiek pārdots tīrs, saulains un pilnībā mēbelēts dzīvoklis. Teica",,3,78,6/9,119.,Pardod,"69,900",896.1538462,Ilūkstes,34,"Latvia, Riga,",Pļavnieki Ilūkstes 34,Pļavnieki,"Latvia, Riga, Pļavnieki Ilūkstes 34",2019
158,"Skaists, ekskluzīvs 3-istabu dzīvoklis. Labi pārdomāts plānojums",,3,67,1/5,LT proj.,Pardod,"77,000",1149.253731,Lielvārdes,129,"Latvia, Riga,",Purvciems Lielvārdes 129,Purvciems,"Latvia, Riga, Purvciems Lielvārdes 129",2019
159,"Квартира с полным, качественным, свежим ремонтом- делали для себ",,3,44,2/2,Specpr.,Pardod,"39,999",909.0681818,Vecāķu pr.,111b,"Latvia, Riga,",Vecdaugava Vecāķu pr. 111b,Vecdaugava,"Latvia, Riga, Vecdaugava Vecāķu pr. 111b",2019
159,Шикарная 3-комнатная квартира в новом доме на тихой улице Озолу,,3,88,1/3,Jaun.,Pardod,"125,000",1420.454545,Lubānas,1,"Latvia, Riga,",Dreiliņi Lubānas 1,Dreiliņi,"Latvia, Riga, Dreiliņi Lubānas 1",2019
159,"Продаю 3-х комнатную квартиру, кирпичный дом, в Вецдаугаве. Св",,3,44,1/2,Specpr.,Pardod,"39,000",886.3636364,Vecāķu pr.,111F,"Latvia, Riga,",Vecdaugava Vecāķu pr. 111F,Vecdaugava,"Latvia, Riga, Vecdaugava Vecāķu pr. 111F",2019
159,"Dzīvoklis, kas neatstās vienaldzīgu. Kvalitatīvs pilnībā labiekā",,3,148,3/3,Jaun.,Pardod,"210,000",1418.918919,Ādažu,11,"Latvia, Riga,",Bukulti Ādažu 11,Bukulti,"Latvia, Riga, Bukulti Ādažu 11",2019
160,"Dzīve ar skatu uz priežu mežu un svaigs, veselīgs gaiss katru di",,3,78,5/6,Jaun.,Pardod,"106,500",1365.384615,Rātsupītes,3,"Latvia, Riga,",Kleisti Rātsupītes 3,Kleisti,"Latvia, Riga, Kleisti Rātsupītes 3",2019
160,"Продается 3х комнатная квартира, приватизирована с землёй, все у",,3,93,1/2,P. kara,Pardod,"90,000",967.7419355,Turgeņeva,17,"Latvia, Riga,",Stacija-Tirgus Turgeņeva 17,Stacija-Tirgus,"Latvia, Riga, Stacija-Tirgus Turgeņeva 17",2019
1,Pārdodam 3 istabu dzīvokli Pļavniekos ar skaistu skatu. Zeme z,,3,75,9/9,119.,Pardod,"65,000",866.6666667,Deglava,61,"Latvia, Riga,",Pļavnieki Deglava 61,Pļavnieki,"Latvia, Riga, Pļavnieki Deglava 61",2019
21,"3-х комнатная квартира, угловая. Нужен косметический ремонт. Без",,3,65,4/4,Staļina,Pardod,"65,000",1000,Viestura pr.,22,"Latvia, Riga,",Mangaļi Viestura pr. 22,Mangaļi,"Latvia, Riga, Mangaļi Viestura pr. 22",2019
25,"Pārdod 3-istabu dzīvokli 8. stāvā. Viesistabā, guļamistabā veikt",,3,63,8/9,602.,Pardod,"65,000",1031.746032,Dammes,27,"Latvia, Riga,",Imanta Dammes 27,Imanta,"Latvia, Riga, Imanta Dammes 27",2019
26,"Продается светлая, теплая, в отличном состоянии квартира, после",,3,63,6/9,602.,Pardod,"65,000",1031.746032,Pūces,51,"Latvia, Riga,",Purvciems Pūces 51,Purvciems,"Latvia, Riga, Purvciems Pūces 51",2019
31,Pārdod labu dzīvokli kas atrodas pretī Rsu Stomatoloģijas instit,,3,61,4/5,LT proj.,Pardod,"65,000",1065.57377,Dzirciema,33,"Latvia, Riga,",Dzegužkalns Dzirciema 33,Dzegužkalns,"Latvia, Riga, Dzegužkalns Dzirciema 33",2019
40,Pārdodam 3 istabu dzīvokli Purvciemā ar zemi īpašumā. Dzīvokļa,,3,62,5/9,602.,Pardod,"65,000",1048.387097,Stirnu,35A,"Latvia, Riga,",Purvciems Stirnu 35a,Purvciems,"Latvia, Riga, Purvciems Stirnu 35a",2019
